1,1,836,2
2,1,1957,1
51,33,8883,1
503,456,50198,1
504,456,19435,1
3567,2988,39821,2
3568,2988,7019,1
3569,2988,12049,1
3570,2988,2804,1
12785,5968,1098,2
12786,5968,11837,1
12787,5968,49862,1
12788,5968,10978,1
12789,5968,43867,1
12790,5968,8278,1
12791,5968,20891,1
12792,5968,34313,1
24141,10234,3879,4
29901,12039,1378,1
29902,12039,20222,1
40934,16890,40198,5
40935,16890,23508,2
52874,18999,5604,1
52875,18999,21551,1
52876,18999,7019,2
52877,18999,6081,1
52878,18999,49862,1
52879,18999,3875,8
52880,18999,50110,1
94578,37021,18797,2
94579,37021,8561,1
386016,51873,4141,15
846701,52987,3201,1
846702,52987,4000,1
846703,52987,3156,1
1457864,305678,40198,5		
1457865,305678,23508,2
4121072014,3868100038,256,2
4121072015,3868100038,2804,1
