1,1,1,2,2
2,1,2,9,1
85,24,51,3,1
879,300,503,20,1
882,300,504,20,1
4290,1990,3567,18,2
4291,1990,3568,11,1
4293,1990,3569,13,1
4295,1990,3570,18,1
16451,1,12785,2,2
16452,1,12786,5,1
16455,1,12787,11,1
16457,1,12788,2,1
16458,1,12789,2,1
16459,1,12790,5,1
16462,1,12791,5,1
16463,1,12792,5,1
28991,3876,24141,13,4
36486,4567,29901,8,1
36495,4567,29902,7,1
43818,6969,40934,9,5
43821,6969,40935,9,2
61090,8700,52874,19,1
61092,8700,52875,14,1
61093,8700,52876,14,2
61094,8700,52877,19,1
61096,8700,52878,15,1
61097,8700,52879,19,8
61103,8700,52880,16,1
98102,9498,94578,2,15
401937,18521,386016,24,2
401940,18521,386017,21,1
624304,10983,600154,6,4
898910,35082,846701,17,1
898913,35082,846702,15,1
898918,35082,846703,15,1
4199178215,5555444,4121072014,13,2
4199178226,5555444,4121072015,13,1
